Date,Open,High,Low,Close,Adj Close,Volume
2021-10-07,59677.82813,59677.82813,59677.82813,59677.82813,59677.82813,0
2021-10-08,60059.05859,60059.05859,60059.05859,60059.05859,60059.05859,0
2021-10-11,60135.78516,60135.78516,60135.78516,60135.78516,60135.78516,0
2021-10-12,60284.3125,60284.3125,60284.3125,60284.3125,60284.3125,0
2021-10-13,60737.05078,60737.05078,60737.05078,60737.05078,60737.05078,0
2021-10-14,61305.94922,61305.94922,61305.94922,61305.94922,61305.94922,0
2021-10-18,61765.58984,61765.58984,61765.58984,61765.58984,61765.58984,0
2021-10-19,61716.05078,61716.05078,61716.05078,61716.05078,61716.05078,0
2021-10-20,61259.96484,61259.96484,61259.96484,61259.96484,61259.96484,0
2021-10-21,60923.50391,60923.50391,60923.50391,60923.50391,60923.50391,0
2021-10-22,60821.625,60821.625,60821.625,60821.625,60821.625,0
2021-10-25,60967.05469,60967.05469,60967.05469,60967.05469,60967.05469,0
2021-10-26,61350.26563,61350.26563,61350.26563,61350.26563,61350.26563,0
2021-10-27,61143.33203,61143.33203,61143.33203,61143.33203,61143.33203,0
2021-10-28,59984.69922,59984.69922,59984.69922,59984.69922,59984.69922,0
2021-10-29,59306.93359,59306.93359,59306.93359,59306.93359,59306.93359,0
2021-11-01,60138.45703,60138.45703,60138.45703,60138.45703,60138.45703,0
2021-11-02,60029.05469,60029.05469,60029.05469,60029.05469,60029.05469,0
2021-11-03,59771.92188,59771.92188,59771.92188,59771.92188,59771.92188,0
2021-11-04,60067.61719,60067.61719,60067.61719,60067.61719,60067.61719,0
2021-11-08,60545.60938,60545.60938,60545.60938,60545.60938,60545.60938,0
2021-11-09,60433.44531,60433.44531,60433.44531,60433.44531,60433.44531,0
2021-11-10,60352.81641,60352.81641,60352.81641,60352.81641,60352.81641,0
2021-11-11,59919.69141,59919.69141,59919.69141,59919.69141,59919.69141,0
2021-11-12,60686.69141,60686.69141,60686.69141,60686.69141,60686.69141,0
